Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,62400,65171
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,41192,42889
Afghanistan,AFG,"Population, total",SP.POP.TOTL,40578842,41454761
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.617,66.035
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.993,5.797
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,10915748,11208054
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,11023209,11341785
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8637685,8755262
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,9046510,9164057
Afghanistan,AFG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,549734,567367
Afghanistan,AFG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,405956,418236
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,2109792,2166717
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1211644,1244237
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,731821393,750491370
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.48701955,65.14615435
Africa Eastern and Southern,AFE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.245162949,6.978621043
Africa Eastern and Southern,AFE,"Population ages 15-64, female",SP.POP.1564.FE.IN,207855415,213943465
Africa Eastern and Southern,AFE,"Population ages 15-64, male",SP.POP.1564.MA.IN,201342032,207417692
Africa Eastern and Southern,AFE,"Population ages 0-14, female",SP.POP.0014.FE.IN,148202066,150938679
Africa Eastern and Southern,AFE,"Population ages 0-14, male",SP.POP.0014.MA.IN,150666147,153528108
Africa Eastern and Southern,AFE,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,13598026,14137402
Africa Eastern and Southern,AFE,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,10157714,10526021
